FIPS,COUNTYNAME,N1,A00100,A00200,A00900,A01000,A01700,A02300,A02500,A26270,A19300,A19700,A10300,A59660,N59660,A11070
30111,Yellowstone County,84090,5786616,3847944,151428,330089,380087,142179,209377,469551,58137,70701,703218,23068,11250,14292
31001,Adams County,14850,934605,607413,22903,59483,52636,13559,38315,75889,2873,9245,104806,5091,2270,3362
31003,Antelope County,3020,169772,103690,5314,11046,8187,1155,8354,14801,0,674,19923,911,380,734
31005,Arthur County,200,5409,4955,48,1225,215,0,467,208,0,0,526,58,40,46
31007,Banner County,290,11949,11136,419,516,644,0,647,75,0,0,1251,79,40,76
31009,Blaine County,230,6900,6366,45,1495,405,0,374,34,0,0,661,84,40,52
31011,Boone County,2630,162102,102515,3973,8592,7379,958,7495,12080,217,1011,17559,618,290,515
31013,Box Butte County,5120,285997,194284,7129,9067,33261,5262,15604,8775,339,782,27659,1772,760,1167
31015,Boyd County,890,33901,23715,2038,6151,3139,219,2650,1593,0,0,3768,246,120,193
31017,Brown County,1520,61906,50641,3244,4722,4604,264,3203,2843,0,143,5999,418,210,290
31019,Buffalo County,23300,1639336,1064393,45861,85960,74849,23440,57397,127306,7084,16986,200899,6309,2880,4480
31021,Burt County,3220,175792,124156,4274,5929,12672,2702,9898,6521,345,513,15850,881,430,660
31023,Butler County,4030,236041,165796,5564,8331,12491,2823,11497,7817,445,1116,22123,953,460,747
31025,Cass County,13260,1010340,707696,15933,55044,82511,12085,39969,55419,7022,10189,116697,2733,1310,2015
31027,Cedar County,4010,238789,151943,7222,15133,10963,1890,10711,23091,357,1623,25585,785,390,845
31029,Chase County,1810,111240,68712,2778,7367,5170,417,5118,20834,278,1183,13318,508,220,430
31031,Cherry County,2720,117676,85815,6335,24861,7589,939,6290,5063,228,601,13837,877,420,704
31033,Cheyenne County,4590,245284,174589,5587,11979,17785,3422,11273,5934,777,968,25508,1577,710,995
31035,Clay County,2940,198415,111362,4797,7953,9449,1763,9267,8922,204,1040,22309,891,390,675
31037,Colfax County,5140,276276,216950,4820,6963,9939,2510,8835,10144,133,1197,24283,1629,660,1604
31039,Cuming County,4420,291451,183555,7900,19430,8860,1984,12275,33234,666,1525,33290,1065,490,916
31041,Custer County,5200,254585,193291,10986,24237,14964,3206,12028,7159,679,1691,25612,1618,700,1153
31043,Dakota County,10570,570440,429140,9494,42316,21655,12440,16971,28480,1169,3796,58643,4735,1910,3276
31045,Dawes County,3600,174718,121900,5788,10195,17070,2251,8647,7073,378,1137,15932,1236,520,756
31047,Dawson County,11810,633531,479839,10225,28688,25394,7707,21540,34175,1187,4374,55843,5244,2220,3568
31049,Deuel County,860,42056,27046,614,1118,3863,473,2671,1377,0,0,3855,303,130,169
31051,Dixon County,2790,148267,111653,4443,3117,7619,1745,6649,9047,136,642,14811,802,350,703
31053,Dodge County,18050,1061001,733995,23013,42096,74661,13174,46112,52916,3776,9894,105592,5534,2540,4070
31055,Douglas County,284960,24016853,15721980,489349,2515456,1122306,327797,634905,1802795,162887,468001,3434614,90925,39390,60392
31057,Dundy County,800,37482,25004,1862,4630,1689,0,2236,3161,0,0,4729,254,120,168
31059,Fillmore County,2790,181821,104839,5474,6770,7147,1348,9175,17137,182,574,20894,627,290,432
31061,Franklin County,1420,72955,46905,1836,3922,4332,819,4095,2175,0,0,6885,457,210,331
31063,Frontier County,1180,49397,40308,1889,4258,3785,537,3043,3102,0,0,5402,338,150,287
31065,Furnas County,2300,106762,75284,3534,3292,7768,904,6122,7895,0,557,10304,690,310,500
